Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
83.420279806,USMsgRx,820,2,0,e0feffffffffffff0000,10
83.939574598,USMsgRx,895,2,0,dffeffffffffffff0000,10
84.414622472,USMsgRx,26,2,0,ddfeffffffffffff0000,10
84.682968952,USMsgRx,758,2,0,defeffffffffffff0000,10
84.880706957,USMsgRx,671,2,0,d9feffffffffffff0000,10
85.824746322,USMsgRx,109,2,0,d8feffffffffffff0000,10
86.046052592,USMsgRx,193,2,0,d6feffffffffffff0000,10
86.140814347,USMsgRx,574,2,0,d7feffffffffffff0000,10
86.220188425,USMsgRx,419,2,0,d4feffffffffffff0000,10
86.353876071,USMsgRx,803,2,0,d3feffffffffffff0000,10
86.447023085,USMsgRx,16,2,0,d2feffffffffffff0000,10
87.203972330,USMsgRx,159,2,0,d1feffffffffffff0000,10
87.342334825,USMsgRx,398,2,0,d0feffffffffffff0000,10
88.338643557,USMsgRx,952,2,0,cefeffffffffffff0000,10
88.357480417,USMsgRx,748,2,0,cdfeffffffffffff0000,10
88.367671576,USMsgRx,396,2,0,cffeffffffffffff0000,10
88.710889338,USMsgRx,42,2,0,cbfeffffffffffff0000,10
88.850280634,USMsgRx,255,2,0,cafeffffffffffff0000,10
89.408145468,USMsgRx,388,2,0,c8feffffffffffff0000,10
89.420948117,USMsgRx,913,2,0,c9feffffffffffff0000,10
89.533984213,USMsgRx,850,2,0,c7feffffffffffff0000,10
89.795606880,USMsgRx,300,2,0,c6feffffffffffff0000,10
90.219826309,USMsgRx,479,2,0,c5feffffffffffff0000,10
90.585288946,USMsgRx,951,2,0,c4feffffffffffff0000,10
90.980422507,USMsgRx,98,2,0,c3feffffffffffff0000,10
91.224343067,USMsgRx,795,2,0,c1feffffffffffff0000,10
91.560156823,USMsgRx,953,2,0,c0feffffffffffff0000,10
92.177949652,USMsgRx,578,2,0,bffeffffffffffff0000,10
92.542431118,USMsgRx,372,2,0,befeffffffffffff0000,10
92.976857498,USMsgRx,698,2,0,bdfeffffffffffff0000,10
