Time,DeviceType,NodeId,IfIndex,MacIndex,TraceSource,OldState,NewState
7.028525782,1,111,0,0,MacState,5,0
7.053350377,1,472,0,0,MacState,5,0
7.068988043,1,586,0,0,MacState,2,3
7.073524279,1,4711,0,0,MacState,2,3
7.086068279,1,4711,0,0,MacState,3,4
7.091912691,1,2162,0,0,MacState,0,1
7.093707120,1,459,0,0,MacState,1,2
7.119164043,1,586,0,0,MacState,3,4
7.135913773,1,3732,0,0,MacState,0,1
7.176912597,1,4232,0,0,MacState,0,1
7.178138659,1,1131,0,0,MacState,2,3
7.197116405,1,940,0,0,MacState,4,5
7.218526933,1,2867,0,0,MacState,2,3
7.225554737,1,1177,0,0,MacState,4,5
7.228314659,1,1131,0,0,MacState,3,4
7.228842262,1,4057,0,0,MacState,0,1
7.232184421,1,467,0,0,MacState,4,5
7.238608597,1,4232,0,0,MacState,1,2
7.243614933,1,2867,0,0,MacState,3,4
7.243683954,1,335,0,0,MacState,4,5
7.276640713,1,4135,0,0,MacState,2,3
7.282846550,1,1130,0,0,MacState,5,0
7.289184713,1,4135,0,0,MacState,3,4
7.302759857,1,2580,0,0,MacState,5,0
7.303936084,1,3102,0,0,MacState,2,3
7.341737773,1,3732,0,0,MacState,1,2
7.354112084,1,3102,0,0,MacState,3,4
7.356302741,1,3978,0,0,MacState,4,5
7.361848872,1,3439,0,0,MacState,5,0
7.366460019,1,1555,0,0,MacState,5,0
7.423035182,1,4867,0,0,MacState,0,1
7.432481884,1,1367,0,0,MacState,2,3
7.434666262,1,4057,0,0,MacState,1,2
7.442243516,1,4904,0,0,MacState,4,5
7.445025884,1,1367,0,0,MacState,3,4
7.446401083,1,4705,0,0,MacState,2,3
7.451394848,1,3409,0,0,MacState,4,5
7.458945083,1,4705,0,0,MacState,3,4
7.462600691,1,2162,0,0,MacState,1,2
7.470710769,1,3405,0,0,MacState,2,3
