DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
583,1,-464.577,-1791.42,1850.68,4
584,1,1318.08,1569.33,2049.42,4
585,1,-1356.04,617.128,1489.87,5
586,1,1472.81,1793.8,2320.97,3
587,1,-1027.3,830.455,1320.98,5
588,1,175.479,-2821.2,2826.65,2
589,1,2420.48,-1749.7,2986.67,2
590,1,-749.222,2194.43,2318.81,3
591,1,604.935,817.375,1016.88,5
592,1,-762.875,-352.319,840.302,5
593,1,506.378,798.565,945.582,5
594,1,-2866.71,606.866,2930.24,2
595,1,-261.403,2925.84,2937.49,2
596,1,2527.29,1005.43,2719.94,2
597,1,1243.66,-2471.77,2767.01,2
598,1,-535.956,671.668,859.294,5
599,1,-2453.95,1652.39,2958.42,2
600,1,1712.7,-2265.73,2840.22,2
601,1,1791.71,-142.648,1797.38,4
602,1,1467.78,2272.83,2705.58,2
603,1,-346.886,1144.63,1196.03,5
604,1,1572.78,2548.35,2994.61,2
605,1,187.84,2431.57,2438.82,3
606,1,19.356,1604.7,1604.82,5
607,1,2455.32,1334.81,2794.69,2
608,1,1263.77,797.393,1494.3,5
609,1,-196.222,-2532.43,2540.02,3
610,1,1229.85,358.458,1281.02,5
611,1,21.3817,-1043.53,1043.75,5
612,1,-253.992,-17.6222,254.602,5
613,1,-300.913,-276.819,408.873,5
614,1,174.287,-2168.69,2175.69,3
615,1,2902.72,-363.482,2925.39,2
616,1,-703.29,-2900.88,2984.92,2
617,1,296.605,1559.83,1587.78,5
618,1,112.397,-48.3991,122.375,5
619,1,-1845.98,482.923,1908.1,4
620,1,1082.18,-2661.44,2873.04,2
621,1,-831.037,-547.169,994.996,5
622,1,1687.32,-2351.16,2893.96,2
623,1,-1417.4,-1523.36,2080.78,4
624,1,-2470.13,431.002,2507.45,3
625,1,-1842.64,645.205,1952.34,4
626,1,727.481,2828.35,2920.41,2
627,1,1763.67,-1603.35,2383.54,3
628,1,-139.476,1138.28,1146.79,5
629,1,-1704.51,-1504.45,2273.48,3
630,1,-175.249,-2820.02,2825.46,2
631,1,862.29,-342.83,927.942,5
632,1,-2287.5,642.736,2376.09,3
633,1,-179.497,-2429.46,2436.08,3
634,1,2854.36,547.326,2906.36,2
635,1,844.987,-1884.36,2065.14,4
636,1,-567.431,-2801.42,2858.31,2
637,1,-437.081,2141.22,2185.38,3
638,1,-678.291,393.897,784.368,5
639,1,-392.954,2221.05,2255.55,3
640,1,2144.34,-1731.66,2756.24,2
641,1,-2988.71,-255.183,2999.59,2
642,1,-1021.72,2160.4,2389.82,3
643,1,471.178,53.9863,474.26,5
644,1,-2400.97,-673.711,2493.7,3
645,1,1443.96,1083.03,1804.98,4
646,1,-1059.87,-1200.58,1601.47,5
647,1,371.015,1040.77,1104.92,5
648,1,-672.441,-1686.22,1815.35,4
649,1,-2329,-1697.53,2881.99,2
650,1,1828.62,2131.29,2808.25,2
651,1,1066.62,-2549.12,2763.28,2
652,1,1153.62,-2374.27,2639.7,3
653,1,126.17,-75.3928,146.98,5
654,1,1786.85,-1450.61,2301.55,3
